Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
access;;RIGHT/OPPORTUNITY;B1;noun;technology;Details
dot;;INTERNET;B1;noun;technology;Details
hardware;;;B1;noun;technology;Details
power;;ELECTRICITY;B1;noun;technology;Details
CD-ROM;;;B1;noun;technology;Details
brake;;;B1;noun;travel;Details
cab;;;B1;noun;travel;Details
cabin;;AIRCRAFT;B1;noun;travel;Details
campsite;;;B1;noun;travel;Details
check-in (desk);;;B1;noun;travel;Details
check-in (counter);;;B1;noun;travel;Details
crash;;VEHICLE;B1;noun;travel;Details
cruise;;;B1;noun;travel;Details
ferry;;;B1;noun;travel;Details
harbour;;;B1;noun;travel;Details
jet;;;B1;noun;travel;Details
lorry;;;B1;noun;travel;Details
pavement;;;B1;noun;travel;Details
resort;;HOLIDAY;B1;noun;travel;Details
route;;ROADS;B1;noun;travel;Details
baggage;;CASES;B1;noun;travel;Details
customs;;;B1;noun;travel;Details
public transport;;;B1;noun;travel;Details
rail;;TRAINS;B1;noun;travel;Details
departure;;LEAVING;B1;noun;travel;Details
port;;;B1;noun;travel;Details
sail;;TRAVEL ON BOAT;B1;verb;travel;Details
reach;;ARRIVE;B1;verb;travel;Details
agency;;BUSINESS;B1;noun;work;Details
architect;;;B1;noun;work;Details
career;;JOB;B1;noun;work;Details
employee;;;B1;noun;work;Details
firm;;;B1;noun;work;Details
guard;;PERSON WHO PROTECTS;B1;noun;work;Details
industry;;TYPE OF BUSINESS;B1;noun;work;Details
profession;;WORK;B1;noun;work;Details
retire;;;B1;verb;work;Details
cancer;;;B1;noun;body and health;Details
murder;;;B1;noun;crime;Details
bacon;;;B1;noun;food and drink;Details
pork;;;B1;noun;food and drink;Details
bomb;;;B1;verb;people: actions;Details
priest;;;B1;noun;work;Details
recycling;;;B1;noun;;Details
disadvantage;;MAKING DIFFICULT;B1;noun;;Details
disappear;;NOT SEE;B1;verb;;Details
refund;;;B1;noun;;Details
review;;;B1;noun;;Details
rebuild;;BUILD AGAIN;B1;verb;;Details
recycle;;;B1;verb;;Details
arrival;;;B1;noun;;Details
importance;;;B1;noun;;Details
baker;;;B1;noun;;Details
blogger;;;B1;noun;;Details
border;;;B1;noun;;Details
butcher;;;B1;noun;;Details
buyer;;;B1;noun;;Details
designer;;;B1;noun;;Details
foreigner;;;B1;noun;;Details
hairdresser;;;B1;noun;;Details
hairdryer;;;B1;noun;;Details
lawyer;;;B1;noun;;Details
lighter;;;B1;noun;;Details
monster;;CREATURE;B1;noun;;Details
owner;;;B1;noun;;Details
reporter;;;B1;noun;;Details
rider;;;B1;noun;;Details
seller;;;B1;noun;;Details
engineering;;;B1;noun;;Details
jogging;;;B1;noun;;Details
ambition;;HOPE;B1;noun;;Details
application;;REQUEST;B1;noun;;Details
attraction;;THING TO SEE OR DO;B1;noun;;Details
collection;;OBJECTS;B1;noun;;Details
composition;;WRITING;B1;noun;;Details
conclusion;;JUDGMENT;B1;noun;;Details
direction;;WAY;B1;noun;;Details
generation;;PEOPLE;B1;noun;;Details
location;;PLACE;B1;noun;;Details
occasion;;SPECIAL TIME;B1;noun;;Details
situation;;;B1;noun;;Details
accommodation;;;B1;noun;;Details
attention;;NOTICE;B1;noun;;Details
relaxation;;;B1;noun;;Details
connection;;JOINING THINGS;B1;noun;;Details
correction;;;B1;noun;;Details
invention;;;B1;noun;;Details
population;;NUMBER;B1;noun;;Details
reception;;HOTEL/OFFICE;B1;noun;;Details
chemist;;SCIENCE;B1;noun;;Details
guitarist;;;B1;noun;;Details
journalist;;;B1;noun;;Details
scientist;;;B1;noun;;Details
celebrity;;;B1;noun;;Details
quality;;GOOD;B1;noun;;Details
ability;;;B1;noun;;Details
charity;;ORGANIZATION;B1;noun;;Details
opportunity;;CHANCE;B1;noun;;Details
possibility;;MAY HAPPEN/BE TRUE;B1;noun;;Details
recognize;;KNOW;B1;verb;;Details
improvement;;CHANGE;B1;noun;;Details
announcement;;;B1;noun;;Details
author;;;B1;noun;;Details
calculator;;;B1;noun;;Details
professor;;;B1;noun;;Details
sailor;;;B1;noun;;Details
membership;;BELONGING;B1;noun;;Details
difficulty;;NOT EASY;B1;noun;;Details
killing;;;B1;noun;;Details
accountant;;;B1;noun;;Details
aim;;;B1;noun;;Details
airline;;;B1;noun;;Details
antique;;;B1;noun;;Details
athlete;;;B1;noun;;Details
bell;;ELECTRICAL OBJECT;B1;noun;;Details
blog;;;B1;noun;;Details
bucket;;;B1;noun;;Details
canal;;;B1;noun;;Details
cashpoint;;;B1;noun;;Details
chance;;OPPORTUNITY;B1;noun;;Details
clinic;;;B1;noun;;Details
coach;;PERSON;B1;noun;;Details
contract;;;B1;noun;;Details
count noun;;;B1;noun;;Details
crop;;;B1;noun;;Details
CV;;;B1;noun;;Details
definite article;;;B1;noun;;Details
deposit;;BUYING;B1;noun;;Details
detail;;FACT;B1;noun;;Details
detective;;;B1;noun;;Details
disc jockey;;;B1;noun;;Details
DJ;;;B1;noun;;Details
edge;;OUTER POINT;B1;noun;;Details
embassy;;;B1;noun;;Details
essay;;;B1;noun;;Details
event;;HAPPENING;B1;noun;;Details
expert;;;B1;noun;;Details
fare;;;B1;noun;;Details
favour;;HELP;B1;noun;;Details
film-maker;;;B1;noun;;Details
firework;;;B1;noun;;Details
flag;;;B1;noun;;Details
fountain;;;B1;noun;;Details
gap;;SPACE;B1;noun;;Details
ground;;AREA OF LAND;B1;noun;;Details
gun;;;B1;noun;;Details
handkerchief;;;B1;noun;;Details
herb;;;B1;noun;;Details
hole;;;B1;noun;;Details
honeymoon;;;B1;noun;;Details
hostel;;;B1;noun;;Details
indefinite article;;;B1;noun;;Details
infinitive;;;B1;noun;;Details
item;;PART OF SET;B1;noun;;Details
jar;;;B1;noun;;Details
jug;;;B1;noun;;Details
kit;;COLLECTION;B1;noun;;Details
lecture;;;B1;noun;;Details
lottery;;;B1;noun;;Details
mall;;;B1;noun;;Details
method;;;B1;noun;;Details
modal (verb);;;B1;noun;;Details
musician;;;B1;noun;;Details
neighbourhood;;;B1;noun;;Details
nightclub;;;B1;noun;;Details
nightmare;;BAD EXPERIENCE;B1;noun;;Details
noticeboard;;;B1;noun;;Details
object;;THING;B1;noun;;Details
olive;;;B1;noun;;Details
opinion;;OF PERSON;B1;noun;;Details
option;;CHOICE;B1;noun;;Details
packet;;;B1;noun;;Details
parcel;;;B1;noun;;Details
pedestrian;;;B1;noun;;Details
pharmacy;;;B1;noun;;Details
phrasal verb;;;B1;noun;;Details
pipe;;;B1;noun;;Details
politician;;;B1;noun;;Details
postman;;;B1;noun;;Details
preposition;;;B1;noun;;Details
prescription;;;B1;noun;;Details
prince;;;B1;noun;;Details
princess;;;B1;noun;;Details
pronoun;;;B1;noun;;Details
purpose;;REASON;B1;noun;;Details
queue;;;B1;noun;;Details
range;;OF THINGS;B1;noun;;Details
result;;INFORMATION;B1;noun;;Details
reward;;SOMETHING GOOD;B1;noun;;Details
robot;;;B1;noun;;Details
salesman;;;B1;noun;;Details
saleswoman;;;B1;noun;;Details
secret;;NOT TELL;B1;noun;;Details
section;;;B1;noun;;Details
session;;;B1;noun;;Details
signpost;;;B1;noun;;Details
smile;;;B1;noun;;Details
behaviour;;;B1;noun;;Details
common sense;;;B1;noun;;Details
cotton;;;B1;noun;;Details
dirt;;;B1;noun;;Details
diving;;;B1;noun;;Details
dust;;;B1;noun;;Details
economics;;;B1;noun;;Details
energy;;STRENGTH;B1;noun;;Details
law;;SUBJECT;B1;noun;;Details
luxury;;COMFORT;B1;noun;;Details
nightlife;;;B1;noun;;Details
northeast;;;B1;noun;;Details
northwest;;;B1;noun;;Details
permission;;;B1;noun;;Details
progress;;IMPROVEMENT;B1;noun;;Details
property;;THINGS OWNED;B1;noun;;Details
research;;;B1;noun;;Details
rubbish;;WASTE;B1;noun;;Details
silence;;NO SOUND;B1;noun;;Details
silk;;;B1;noun;;Details
advantage;;USEFUL THING;B1;noun;;Details
battle;;WAR;B1;noun;;Details
benefit;;;B1;noun;;Details
challenge;;DIFFICULT;B1;noun;;Details
charge;;MONEY;B1;noun;;Details
cod;;;B1;noun;;Details
custom;;;B1;noun;;Details
death;;END OF LIFE;B1;noun;;Details
decrease;;;B1;noun;;Details
duty;;RIGHT THING TO DO;B1;noun;;Details
effect;;RESULT;B1;noun;;Details
emergency;;;B1;noun;;Details
fuel;;;B1;noun;;Details
jail;;;B1;noun;;Details
lamb;;;B1;noun;;Details
liquid;;;B1;noun;;Details
mystery;;;B1;noun;;Details
powder;;;B1;noun;;Details
prison;;;B1;noun;;Details
religion;;;B1;noun;;Details
salary;;;B1;noun;;Details
salmon;;;B1;noun;;Details
shadow;;NO LIGHT;B1;noun;;Details
atmosphere;;FEELING;B1;noun;;Details
appear;;BE SEEN;B1;verb;;Details
apply;;REQUEST;B1;verb;;Details
compete;;SPORT;B1;verb;;Details
concentrate;;THINK CAREFULLY;B1;verb;;Details
cycle;;;B1;verb;;Details
dive;;ENTER WATER;B1;verb;;Details
exist;;BE REAL;B1;verb;;Details
float;;MOVE IN AIR;B1;verb;;Details
flow;;;B1;verb;;Details
hitchhike;;;B1;verb;;Details
live;;BE ALIVE;B1;verb;;Details
operate;;TREATMENT;B1;verb;;Details
shine;;PRODUCE LIGHT;B1;verb;;Details
accompany;;GO WITH;B1;verb;;Details
admire;;LOOK AT;B1;verb;;Details
allow;;GIVE PERMISSION;B1;verb;;Details
contain;;INSIDE;B1;verb;;Details
declare;;STATE VALUE/AMOUNT;B1;verb;;Details
delete;;;B1;verb;;Details
deserve;;;B1;verb;;Details
direct;;ROUTE;B1;verb;;Details
drag;;COMPUTER;B1;verb;;Details
employ;;JOB;B1;verb;;Details
expect;;THINK;B1;verb;;Details
fax;;;B1;verb;;Details
feed;;GIVE FOOD;B1;verb;;Details
gain;;INCREASE;B1;verb;;Details
hire;;RENT;B1;verb;;Details
injure;;;B1;verb;;Details
intend;;HAVE PLAN;B1;verb;;Details
introduce;;MEETING PEOPLE;B1;verb;;Details
involve;;NECESSARY PART;B1;verb;;Details
let;;ALLOW;B1;verb;;Details
post;;WEBSITE;B1;verb;;Details
punish;;;B1;verb;;Details
reduce;;;B1;verb;;Details
require;;NEED;B1;verb;;Details
reserve;;ARRANGE TO HAVE;B1;verb;;Details
rob;;STEAL;B1;verb;;Details
accept;;AGREE TO TAKE;B1;verb;;Details
bite;;;B1;verb;;Details
compare;;EXAMINE DIFFERENCES;B1;verb;;Details
consider;;THINK CAREFULLY;B1;verb;;Details
dial;;;B1;verb;;Details
entertain;;;B1;verb;;Details
explode;;;B1;verb;;Details
film;;;B1;verb;;Details
hunt;;CHASE;B1;verb;;Details
knit;;;B1;verb;;Details
marry;;;B1;verb;;Details
perform;;ENTERTAIN;B1;verb;;Details
revise;;STUDY;B1;verb;;Details
sew;;;B1;verb;;Details
air force;;;B1;noun;;Details
angel;;;B1;noun;;Details
barman;;;B1;noun;;Details
ghost;;;B1;noun;;Details
incredible;;VERY GOOD;B1;adjective;describing things;Details
scary;;;B1;adjective;people: personality;Details
frozen;;PERSON;B1;adjective;body and health;Details
sir;;FORM OF ADDRESS;B1;noun;communication;Details
irregular;;GRAMMAR;B1;adjective;;Details
disabled;;;B1;adjective;body and health;Details
recycled;;;B1;adjective;natural world;Details
acceptable;;GOOD ENOUGH;B1;adjective;describing things;Details
reasonable;;BIG ENOUGH;B1;adjective;describing things;Details
enjoyable;;;B1;adjective;people: personality;Details
reliable;;;B1;adjective;people: personality;Details
cultural;;ARTS;B1;adjective;arts and media;Details
financial;;;B1;adjective;money;Details
environmental;;;B1;adjective;natural world;Details
professional;;SKILL;B1;adjective;people: personality;Details
political;;;B1;adjective;politics;Details
electrical;;USING ELECTRICITY;B1;adjective;technology;Details
animated;;FILM;B1;adjective;arts and media;Details
engaged;;IN USE;B1;adjective;communication;Details
damaged;;;B1;adjective;describing things;Details
limited;;SMALL;B1;adjective;describing things;Details
old-fashioned;;;B1;adjective;describing things;Details
middle-aged;;;B1;adjective;people: appearance;Details
amazed;;;B1;adjective;people: personality;Details
annoyed;;;B1;adjective;people: personality;Details
ashamed;;EMBARRASSED;B1;adjective;people: personality;Details
confused;;NOT UNDERSTAND;B1;adjective;people: personality;Details
delighted;;;B1;adjective;people: personality;Details
disappointed;;;B1;adjective;people: personality;Details
embarrassed;;;B1;adjective;people: personality;Details
exhausted;;;B1;adjective;people: personality;Details
experienced;;;B1;adjective;people: personality;Details
frightened;;;B1;adjective;people: personality;Details
relaxed;;PERSON;B1;adjective;people: personality;Details
satisfied;;PLEASED;B1;adjective;people: personality;Details
scared;;;B1;adjective;people: personality;Details
shocked;;;B1;adjective;people: personality;Details
divorced;;;B1;adjective;relationships;Details
confident;;ABILITY;B1;adjective;people: personality;Details
intelligent;;;B1;adjective;people: personality;Details
painful;;PHYSICAL;B1;adjective;body and health;Details
colourful;;BRIGHT;B1;adjective;describing things;Details
cheerful;;HAPPY;B1;adjective;people: personality;Details
grateful;;;B1;adjective;people: personality;Details
helpful;;;B1;adjective;people: personality;Details
hopeful;;FEELING POSITIVE;B1;adjective;people: personality;Details
peaceful;;CALM;B1;adjective;people: personality;Details
powerful;;CONTROL;B1;adjective;people: personality;Details
sensible;;;B1;adjective;people: personality;Details
romantic;;STORY;B1;adjective;arts and media;Details
basic;;MAIN;B1;adjective;describing things;Details
scientific;;;B1;adjective;education;Details
electronic;;EQUIPMENT;B1;adjective;technology;Details
amusing;;;B1;adjective;describing things;Details
disgusting;;;B1;adjective;describing things;Details
freezing;;;B1;adjective;natural world;Details
annoying;;;B1;adjective;people: personality;Details
charming;;;B1;adjective;people: personality;Details
confusing;;;B1;adjective;people: personality;Details
disappointing;;;B1;adjective;people: personality;Details
easygoing;;;B1;adjective;people: personality;Details
embarrassing;;;B1;adjective;people: personality;Details
frightening;;;B1;adjective;people: personality;Details
relaxing;;;B1;adjective;people: personality;Details
shocking;;;B1;adjective;people: personality;Details
operation;;DOCTOR;B1;noun;body and health;Details
education;;;B1;noun;education;Details
qualification;;STUDY;B1;noun;education;Details
selfish;;;B1;adjective;people: personality;Details
creative;;;B1;adjective;people: personality;Details
careless;;;B1;adjective;people: personality;Details
hopeless;;NO HOPE;B1;adjective;people: personality;Details
absolutely;;COMPLETELY;B1;adverb;communication;Details
completely;;;B1;adverb;communication;Details
extremely;;;B1;adverb;communication;Details
fortunately;;;B1;adverb;communication;Details
fully;;;B1;adverb;communication;Details
generally;;USUALLY;B1;adverb;communication;Details
heavily;;;B1;adverb;communication;Details
honestly;;EMPHASIZE;B1;adverb;communication;Details
hopefully;;WHAT YOU WANT;B1;adverb;communication;Details
mainly;;;B1;adverb;communication;Details
particularly;;;B1;adverb;communication;Details
partly;;;B1;adverb;communication;Details
personally;;OPINION;B1;adverb;communication;Details
approximately;;;B1;adverb;describing things;Details
fairly;;QUITE;B1;adverb;describing things;Details
beautifully;;;B1;adverb;people: appearance;Details
lively;;;B1;adjective;people: personality;Details
lonely;;PERSON;B1;adjective;people: personality;Details
amazingly;;;B1;adverb;people: personality;Details
angrily;;;B1;adverb;people: personality;Details
bravely;;;B1;adverb;people: personality;Details
curiously;;WANTING TO KNOW;B1;adverb;people: personality;Details
dangerously;;;B1;adverb;people: personality;Details
excitedly;;;B1;adverb;people: personality;Details
happily;;HAPPY;B1;adverb;people: personality;Details
kindly;;;B1;adverb;people: personality;Details
politely;;;B1;adverb;people: personality;Details
arrangement;;PLANS;B1;noun;people: actions;Details
government;;GROUP;B1;noun;politics;Details
enormous;;;B1;adjective;describing things;Details
marvellous;;;B1;adjective;describing things;Details
anxious;;WORRIED;B1;adjective;people: personality;Details
curious;;;B1;adjective;people: personality;Details
generous;;WILLING TO GIVE;B1;adjective;people: personality;Details
jealous;;UNHAPPY IN LOVE;B1;adjective;people: personality;Details
nervous;;;B1;adjective;people: personality;Details
serious;;PERSON;B1;adjective;people: personality;Details
curly;;;B1;adjective;describing things;Details
icy;;WITH ICE;B1;adjective;natural world;Details
rainy;;;B1;adjective;natural world;Details
sandy;;;B1;adjective;natural world;Details
guilty;;FEELING;B1;adjective;people: personality;Details
alcoholic;;DRINK;B1;adjective;food and drink;Details
audience;;GROUP;B1;noun;arts and media;Details
orchestra;;;B1;noun;arts and media;Details
publish;;;B1;verb;arts and media;Details
alive;;LIVING;B1;adjective;body and health;Details
asleep;;;B1;adjective;body and health;Details
awake;;;B1;adjective;body and health;Details
blind;;NO SIGHT;B1;adjective;body and health;Details
deaf;;;B1;adjective;body and health;Details
pregnant;;;B1;adjective;body and health;Details
casual;;CLOTHES;B1;adjective;clothes;Details
flat;;LOW;B1;adjective;clothes;Details
brief;;SHORT;B1;adjective;communication;Details
besides;;EXTRA REASON;B1;adverb;communication;Details
hardly;;ALMOST NOT;B1;adverb;communication;Details
indeed;;REALLY;B1;adverb;communication;Details
rather;;SMALL AMOUNT;B1;adverb;communication;Details
initial;;;B1;noun;communication;Details
madam;;WOMAN;B1;noun;communication;Details
accurate;;;B1;adjective;describing things;Details
ancient;;;B1;adjective;describing things;Details
blank;;EMPTY;B1;adjective;describing things;Details
bold;;EASY TO NOTICE;B1;adjective;describing things;Details
brand new;;;B1;adjective;describing things;Details
brilliant;;VERY BRIGHT;B1;adjective;describing things;Details
broad;;WIDE;B1;adjective;describing things;Details
clever;;EFFECTIVE;B1;adjective;describing things;Details
equal;;SAME AMOUNT/NUMBER, ETC.;B1;adjective;describing things;Details
exact;;;B1;adjective;describing things;Details
extraordinary;;;B1;adjective;describing things;Details
????;;NOT CORRECT;B1;adjective;describing things;Details
front;;;B1;adjective;describing things;Details
gentle;;NOT STRONG;B1;adjective;describing things;Details
giant;;;B1;adjective;describing things;Details
huge;;;B1;adjective;describing things;Details
individual;;SINGLE;B1;adjective;describing things;Details
magnificent;;;B1;adjective;describing things;Details
main;;MOST IMPORTANT;B1;adjective;describing things;Details
medium;;;B1;adjective;describing things;Details
minimum;;;B1;adjective;describing things;Details
narrow;;NOT WIDE;B1;adjective;describing things;Details
nasty;;BAD;B1;adjective;describing things;Details
navy blue;;;B1;adjective;describing things;Details
nearby;;;B1;adjective;describing things;Details
outdoor;;;B1;adjective;describing things;Details
rough;;NOT SMOOTH;B1;adjective;describing things;Details
sharp;;ABLE TO CUT;B1;adjective;describing things;Details
smooth;;REGULAR SURFACE;B1;adjective;describing things;Details
apart;;SEPARATE;B1;adverb;describing things;Details
indoors;;;B1;adverb;describing things;Details
least;;LESS;B1;adverb;describing things;Details
percent;;;B1;adverb;describing things;Details
elementary;;;B1;adjective;education;Details
secondary;;;B1;adjective;education;Details
bitter;;TASTE;B1;adjective;food and drink;Details
raw;;NOT COOKED;B1;adjective;food and drink;Details
ingredient;;FOOD;B1;noun;food and drink;Details
first-floor;;;B1;adjective;homes and buildings;Details
owe;;MONEY;B1;verb;money;Details
calm;;SEA/WEATHER;B1;adjective;natural world;Details
humid;;;B1;adjective;natural world;Details
mild;;WEATHER;B1;adjective;natural world;Details
the seaside;;;B1;noun;natural world;Details
choice;;RIGHT;B1;noun;people: actions;Details
elderly;;;B1;adjective;people: appearance;Details
handsome;;ATTRACTIVE;B1;adjective;people: appearance;Details
brave;;;B1;adjective;people: personality;Details
certain;;NO DOUBT;B1;adjective;people: personality;Details
cruel;;;B1;adjective;people: personality;Details
honest;;TRUTH;B1;adjective;people: personality;Details
keen;;INTERESTED;B1;adjective;people: personality;Details
miserable;;UNHAPPY;B1;adjective;people: personality;Details
positive;;HAPPY;B1;adjective;people: personality;Details
proud;;PLEASED;B1;adjective;people: personality;Details
shy;;;B1;adjective;people: personality;Details
silly;;LITTLE THOUGHT;B1;adjective;people: personality;Details
smart;;CLEVER;B1;adjective;people: personality;Details
knowledge;;UNDERSTANDING;B1;noun;people: personality;Details
public;;GOVERNMENT;B1;adjective;politics;Details
gay;;;B1;adjective;relationships;Details
hand-held;;;B1;adjective;technology;Details
abroad;;;B1;adverb;travel;Details
full-time;;;B1;adjective;work;Details
part-time;;;B1;adverb;work;Details
promote;;JOB;B1;verb;work;Details
impossible;;CANNOT HAPPEN;B1;adjective;;Details
inexpensive;;;B1;adjective;;Details
internationally;;;B1;adverb;;Details
intermediate;;;B1;adjective;;Details
fashionable;;;B1;adjective;;Details
annual;;;B1;adjective;;Details
central;;NEAR CENTRE;B1;adjective;;Details
essential;;NECESSARY;B1;adjective;;Details
historical;;;B1;adjective;;Details
natural;;NOT ARTIFICIAL;B1;adjective;;Details
original;;FIRST MADE;B1;adjective;;Details
personal;;RELATING TO A PERSON;B1;adjective;;Details
complicated;;;B1;adjective;;Details
depressed;;UNHAPPY;B1;adjective;;Details
prepared;;READY;B1;adjective;;Details
qualified;;PASSED EXAMS;B1;adjective;;Details
convenient;;EASY/SUITABLE;B1;adjective;;Details
efficient;;;B1;adjective;;Details
independent;;NOT HELPED;B1;adjective;;Details
historic;;;B1;adjective;;Details
realistic;;SEEMING REAL;B1;adjective;;Details
burning;;ON FIRE;B1;adjective;;Details
challenging;;;B1;adjective;;Details
condition;;STATE;B1;noun;;Details
active;;BUSY;B1;adjective;;Details
possessive;;GRAMMAR;B1;adjective;;Details
likely;;;B1;adjective;;Details
monthly;;;B1;adjective;;Details
accurately;;;B1;adverb;;Details
briefly;;;B1;adverb;;Details
correctly;;;B1;adverb;;Details
definitely;;;B1;adverb;;Details
differently;;;B1;adverb;;Details
directly;;NOTHING BETWEEN;B1;adverb;;Details
frequently;;;B1;adverb;;Details
lately;;;B1;adverb;;Details
lightly;;GENTLY;B1;adverb;;Details
loudly;;;B1;adverb;;Details
mostly;;;B1;adverb;;Details
normally;;USUALLY;B1;adverb;;Details
obviously;;;B1;adverb;;Details
perfectly;;WITHOUT FAULT;B1;adverb;;Details
pleasantly;;;B1;adverb;;Details
previously;;;B1;adverb;;Details
properly;;;B1;adverb;;Details
quietly;;WITHOUT NOISE;B1;adverb;;Details
rarely;;;B1;adverb;;Details
recently;;;B1;adverb;;Details
regularly;;OFTEN;B1;adverb;;Details
secretly;;;B1;adverb;;Details
seriously;;BADLY;B1;adverb;;Details
delicious;;;B1;adjective;;Details
obvious;;;B1;adjective;;Details
previous;;;B1;adjective;;Details
dusty;;;B1;adjective;;Details
juicy;;WITH JUICE;B1;adjective;;Details
messy;;;B1;adjective;;Details
shiny;;;B1;adjective;;Details
sleepy;;TIRED;B1;adjective;;Details
absent;;;B1;adjective;;Details
alike;;;B1;adjective;;Details
alright;;GOOD ENOUGH;B1;adjective;;Details
bald;;;B1;adjective;;Details
common;;USUAL;B1;adjective;;Details
cosy;;;B1;adjective;;Details
due;;EXPECTED;B1;adjective;;Details
dull;;BORING;B1;adjective;;Details
duty-free;;;B1;adjective;;Details
eastern;;EAST PART;B1;adjective;;Details
face-to-face;;;B1;adjective;;Details
familiar;;EASY TO RECOGNIZE;B1;adjective;;Details
female;;;B1;adjective;;Details
forbidden;;;B1;adjective;;Details
former;;;B1;adjective;;Details
frequent;;;B1;adjective;;Details
future;;;B1;adjective;;Details
general;;NOT DETAILED;B1;adjective;;Details
gorgeous;;;B1;adjective;;Details
hidden;;NOT EASY TO FIND;B1;adjective;;Details
incorrect;;;B1;adjective;;Details
local;;;B1;adjective;;Details
loose;;CLOTHES;B1;adjective;;Details
male;;;B1;adjective;;Details
neat;;TIDY;B1;adjective;;Details
necessary;;;B1;adjective;;Details
next-door;;;B1;adjective;;Details
northern;;;B1;adjective;;Details
ordinary;;NOT SPECIAL;B1;adjective;;Details
out-of-date;;;B1;adjective;;Details
overnight;;FOR THE NIGHT;B1;adjective;;Details
passive;;GRAMMAR;B1;adjective;;Details
permanent;;;B1;adjective;;Details
plain;;SIMPLE;B1;adjective;;Details
private;;NOT EVERYONE;B1;adjective;;Details
proper;;CORRECT;B1;adjective;;Details
pure;;NOT MIXED;B1;adjective;;Details
rare;;UNUSUAL;B1;adjective;;Details
recent;;;B1;adjective;;Details
rude;;NOT POLITE;B1;adjective;;Details
second-hand;;;B1;adjective;;Details
self-service;;;B1;adjective;;Details
separate;;NOT JOINED;B1;adjective;;Details
silent;;QUIET;B1;adjective;;Details
similar;;;B1;adjective;;Details
ahead;;IN FRONT;B1;adverb;;Details
aloud;;;B1;adverb;;Details
altogether;;TOTAL;B1;adverb;;Details
backwards;;;B1;adverb;;Details
either;;;B1;adverb;;Details
face to face;;;B1;adverb;;Details
forever;;IN FUTURE;B1;adverb;;Details
forward;;DIRECTION;B1;adverb;;Details
furthest;;;B1;adverb;;Details
luckily;;;B1;adverb;;Details
meanwhile;;;B1;adverb;;Details
next door;;;B1;adverb;;Details
nowadays;;;B1;adverb;;Details
nowhere;;NOT ANYWHERE;B1;adverb;;Details
otherwise;;WHAT WOULD HAPPEN;B1;adverb;;Details
outdoors;;;B1;adverb;;Details
safely;;;B1;adverb;;Details
crew;;SHIP/AIRCRAFT;B1;noun;;Details
fortnight;;;B1;noun;;Details
mess;;DIRT/UNTIDINESS;B1;noun;;Details
unemployment;;;B1;noun;work;Details
thriller;;;B1;noun;arts and media;Details
stranger;;;B1;noun;relationships;Details
supporter;;SPORT;B1;noun;shopping;Details
swimmer;;;B1;noun;shopping;Details
traveller;;;B1;noun;travel;Details
warning;;;B1;noun;communication;Details
wedding;;;B1;noun;relationships;Details
training;;SPORT;B1;noun;shopping;Details
windsurfing;;;B1;noun;shopping;Details
turning;;;B1;noun;travel;Details
suggestion;;IDEA;B1;noun;communication;Details
translation;;;B1;noun;communication;Details
tourism;;;B1;noun;travel;Details
tiger;;;B1;noun;animals;Details
web;;SPIDER;B1;noun;animals;Details
whale;;;B1;noun;animals;Details
wing;;CREATURE;B1;noun;animals;Details
statue;;;B1;noun;arts and media;Details
trumpet;;;B1;noun;arts and media;Details
tablet;;;B1;noun;body and health;Details
throat;;;B1;noun;body and health;Details
thumb;;;B1;noun;body and health;Details
tongue;;IN MOUTH;B1;noun;body and health;Details
sweatshirt;;;B1;noun;clothes;Details
tracksuit;;;B1;noun;clothes;Details
underwear;;;B1;noun;clothes;Details
underpants;;;B1;noun;clothes;Details
tick;;;B1;noun;communication;Details
tip;;ADVICE;B1;noun;communication;Details
title;;BOOK/FILM, ETC.;B1;noun;communication;Details
topic;;;B1;noun;communication;Details
vowel;;;B1;noun;communication;Details
speech;;ABILITY TO TALK;B1;noun;communication;Details
suggest;;IDEA;B1;verb;communication;Details
underline;;DRAW LINE;B1;verb;communication;Details
warn;;;B1;verb;communication;Details
translate;;LANGUAGE;B1;verb;communication;Details
wonder;;POLITE REQUEST;B1;verb;communication;Details
stripe;;;B1;noun;describing things;Details
strawberry;;;B1;noun;food and drink;Details
takeaway;;;B1;noun;food and drink;Details
tin;;FOOD CONTAINER;B1;noun;food and drink;Details
vegetarian;;;B1;noun;food and drink;Details
spinach;;;B1;noun;food and drink;Details
spice;;FOOD;B1;noun;food and drink;Details
taste;;FLAVOUR;B1;noun;food and drink;Details
tuna;;;B1;noun;food and drink;Details
step;;STAIR;B1;noun;homes and buildings;Details
tap;;FOR WATER;B1;noun;homes and buildings;Details
tower;;;B1;noun;homes and buildings;Details
sum;;;B1;noun;money;Details
tax;;;B1;noun;money;Details
stream;;SMALL RIVER;B1;noun;natural world;Details
valley;;;B1;noun;natural world;Details
waterfall;;;B1;noun;natural world;Details
wave;;WATER;B1;noun;natural world;Details
weather forecast;;;B1;noun;natural world;Details
sunshine;;;B1;noun;natural world;Details
thunder;;;B1;noun;natural world;Details
stone;;ROCK;B1;noun;natural world;Details
sunrise;;;B1;noun;natural world;Details
sunset;;;B1;noun;natural world;Details
support;;HELP;B1;noun;people: actions;Details
succeed;;;B1;verb;people: actions;Details
sunbathe;;;B1;verb;people: actions;Details
spoil;;MAKE BAD;B1;verb;people: actions;Details
strike;;HIT;B1;verb;people: actions;Details
transfer;;MOVE;B1;verb;people: actions;Details
